i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,5,90
2022,Águas Claras,Vaginal,5,37
2022,Arniqueiras,Cesário,5,17
2022,Arniqueiras,Vaginal,5,9
2022,Brazlândia,Cesário,5,39
2022,Brazlândia,Vaginal,5,25
2022,Candangolândia,Cesário,5,8
2022,Candangolândia,Vaginal,5,10
2022,Ceilândia,Cesário,5,186
2022,Ceilândia,Vaginal,5,177
2022,Cruzeiro,Cesário,5,19
2022,Cruzeiro,Vaginal,5,8
2022,Fercal,Cesário,5,8
2022,Fercal,Vaginal,5,10
2022,Gama,Cesário,5,87
2022,Gama,Vaginal,5,64
2022,Guará,Cesário,5,66
2022,Guará,Vaginal,5,36
2022,Itapoã,Cesário,5,41
2022,Itapoã,Vaginal,5,33
2022,Jardim Botânico,Cesário,5,33
2022,Jardim Botânico,Vaginal,5,17
2022,Lago Norte,Cesário,5,19
2022,Lago Norte,Vaginal,5,20
2022,Lago Sul,Cesário,5,13
2022,Lago Sul,Vaginal,5,5
2022,Não Informado,Cesário,5,21
2022,Não Informado,Vaginal,5,7
2022,Núcleo Bandeirante,Cesário,5,10
2022,Núcleo Bandeirante,Vaginal,5,10
2022,Paranoá,Cesário,5,38
2022,Paranoá,Vaginal,5,42
2022,Park Way,Cesário,5,18
2022,Park Way,Vaginal,5,5
2022,Planaltina,Cesário,5,116
2022,Planaltina,Vaginal,5,122
2022,Plano Piloto,Cesário,5,91
2022,Plano Piloto,Vaginal,5,70
2022,Recanto das Emas,Cesário,5,69
2022,Recanto das Emas,Vaginal,5,62
2022,Riacho Fundo,Cesário,5,34
2022,Riacho Fundo,Vaginal,5,26
2022,Riacho Fundo II,Cesário,5,44
2022,Riacho Fundo II,Vaginal,5,16
2022,Samambaia,Cesário,5,152
2022,Samambaia,Vaginal,5,112
2022,Santa Maria,Cesário,5,87
2022,Santa Maria,Vaginal,5,71
2022,São Sebastião,Cesário,5,66
2022,São Sebastião,Vaginal,5,72
2022,SCIA/Estrutural,Cesário,5,16
2022,SCIA/Estrutural,Vaginal,5,44
2022,SIA,Vaginal,5,1
2022,Sobradinho,Cesário,5,64
2022,Sobradinho,Vaginal,5,38
2022,Sobradinho II,Cesário,5,37
2022,Sobradinho II,Vaginal,5,33
2022,Sol Nascente,Cesário,5,47
2022,Sol Nascente,Vaginal,5,47
2022,Sudoeste/Octogonal,Cesário,5,29
2022,Sudoeste/Octogonal,Vaginal,5,21
2022,Taguatinga,Cesário,5,138
2022,Taguatinga,Vaginal,5,70
2022,Varjão,Cesário,5,12
2022,Varjão,Vaginal,5,7
2022,Vicente Pires,Cesário,5,55
2022,Vicente Pires,Vaginal,5,24
2022,,Cesário,5,2
