i_ano_compt,i_desc_radf_res_mae,i_desc_tipo_parto,i_mes_compt,i_qtd_nasc
2022,Águas Claras,Cesário,11,106
2022,Águas Claras,Vaginal,11,39
2022,Arniqueiras,Cesário,11,13
2022,Arniqueiras,Vaginal,11,9
2022,Brazlândia,Cesário,11,49
2022,Brazlândia,Vaginal,11,32
2022,Candangolândia,Cesário,11,13
2022,Candangolândia,Vaginal,11,3
2022,Ceilândia,Cesário,11,159
2022,Ceilândia,Não Informado,11,1
2022,Ceilândia,Vaginal,11,152
2022,Cruzeiro,Cesário,11,15
2022,Cruzeiro,Vaginal,11,5
2022,Fercal,Cesário,11,8
2022,Fercal,Vaginal,11,7
2022,Gama,Cesário,11,71
2022,Gama,Vaginal,11,40
2022,Guará,Cesário,11,78
2022,Guará,Vaginal,11,48
2022,Itapoã,Cesário,11,51
2022,Itapoã,Vaginal,11,46
2022,Jardim Botânico,Cesário,11,37
2022,Jardim Botânico,Vaginal,11,14
2022,Lago Norte,Cesário,11,15
2022,Lago Norte,Vaginal,11,13
2022,Lago Sul,Cesário,11,4
2022,Lago Sul,Vaginal,11,2
2022,Não Informado,Cesário,11,33
2022,Não Informado,Não Informado,11,1
2022,Não Informado,Vaginal,11,19
2022,Núcleo Bandeirante,Cesário,11,14
2022,Núcleo Bandeirante,Vaginal,11,12
2022,Paranoá,Cesário,11,36
2022,Paranoá,Vaginal,11,26
2022,Park Way,Cesário,11,6
2022,Park Way,Vaginal,11,6
2022,Planaltina,Cesário,11,93
2022,Planaltina,Vaginal,11,103
2022,Plano Piloto,Cesário,11,119
2022,Plano Piloto,Vaginal,11,69
2022,Recanto das Emas,Cesário,11,66
2022,Recanto das Emas,Não Informado,11,1
2022,Recanto das Emas,Vaginal,11,83
2022,Riacho Fundo,Cesário,11,32
2022,Riacho Fundo,Vaginal,11,29
2022,Riacho Fundo II,Cesário,11,30
2022,Riacho Fundo II,Vaginal,11,14
2022,Samambaia,Cesário,11,140
2022,Samambaia,Não Informado,11,2
2022,Samambaia,Vaginal,11,116
2022,Santa Maria,Cesário,11,72
2022,Santa Maria,Vaginal,11,63
2022,São Sebastião,Cesário,11,61
2022,São Sebastião,Vaginal,11,47
2022,SCIA/Estrutural,Cesário,11,30
2022,SCIA/Estrutural,Vaginal,11,31
2022,Sobradinho,Cesário,11,50
2022,Sobradinho,Vaginal,11,33
2022,Sobradinho II,Cesário,11,46
2022,Sobradinho II,Vaginal,11,36
2022,Sol Nascente,Cesário,11,27
2022,Sol Nascente,Vaginal,11,54
2022,Sudoeste/Octogonal,Cesário,11,19
2022,Sudoeste/Octogonal,Vaginal,11,12
2022,Taguatinga,Cesário,11,122
2022,Taguatinga,Vaginal,11,55
2022,Varjão,Cesário,11,5
2022,Varjão,Vaginal,11,5
2022,Vicente Pires,Cesário,11,54
2022,Vicente Pires,Vaginal,11,24
2022,,Cesário,11,2
